Item;r_object_id;i_antecedent_id;i_chronicle_id;r_version_label;r_creation_date;i_has_folder;a_content_type;r_link_cnt;object_name;numero_vale;subject;title;r_object_type;codigo_site;fase;id_projeto;id_empresa_projeto;id_subarea;codigo_disciplina;r_is_virtual_doc;documento_fornecedor;numero_documento_base;area_funcional;revisao;sigla_idioma;numero_paginas;nome_formato;sigla_finalidade_devolucao;id_tag;tag_antigo;numero_ld;localizacao_acervo;sigla_tipo_emissao;confidencial;numero_vale_antigo;observacoes;data_emissao_prevista;data_emissao_reprog;data_emissao_realiz;avanco_fisico;codigo_atividade;item_contrato;medicao;coringa;substituto;padronizado;livre;data_reuniao;localidade;data_envio;nome_remetente;nome_destinatario;sigla_fluido;sigla_especificacao;sequencial_linha;equipamento;rc_referencia;rp_referencia;rt_referencia;numero_contrato;numero_contratada;id_empresa_contratada;server_path
1;09035f518222dc87;0000000000000000;09035f518222dc87;1.0;24/07/2015 15:34:10;0;acad;0;8332PZ-G-00009_REV_0.DWG;8332PZ-G-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - FLUXOGRAMA DE ENGENHARIA - PROJETO BASICO;engdo_fg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;G;0;0;;;0;;1;A1;;0000000000000000;;LD-832C-98-31030;;B;0;;;nulldate;nulldate;07/08/2014 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1016/14, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\df.dwg
2;09035f518222dccc;09035f518222dc87;09035f518222dc87;CURRENT|1.1;24/07/2015 15:34:11;1;acad;0;8332PZ-G-00009_REV_1.DWG;8332PZ-G-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - FLUXOGRAMA DE ENGENHARIA - PROJETO BASICO;engdo_fg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;G;0;0;;;1;;1;A1;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;09/09/2014 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1210/14, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e0.dwg
3;09035f518222dc88;0000000000000000;09035f518222dc88;1.0;24/07/2015 15:34:12;0;acad;0;8332PZ-G-00010_REV_0.DWG;8332PZ-G-00010;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - FLUXOGRAMA DE PROCESSO - PROJETO BASICO;engdo_fg;PZ;FEL3;08035f51820be007;08035f518222b071;08035f5181f60383;G;0;0;;;0;;2;A1;;;;LD-832C-98-31060;;C;0;;;nulldate;nulldate;08/08/2014 00:00:00;0;;;;;;1;+, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e1.dwg
4;09035f51822d8651;09035f518222dc88;09035f518222dc88;1.1|CURRENT;18/08/2015 15:45:08;1;acad;0;8332PZ-G-00010_REV_1.DWG;8332PZ-G-00010;CADASTRARFICHAIMPORTAR;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - FLUXOGRAMA DE PROCESSO - PROJETO BASICO;engdo_fg;PZ;FEL3;08035f51820be007;08035f518222b071;08035f5181f60383;G;0;0;;;1;;2;A1;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;18/08/2015 15:44:42;0;;;;;;1;+, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/8a/c1/b9.dwg
5;09035f518222dc89;0000000000000000;09035f518222dc89;1.0;24/07/2015 15:34:13;0;acad;0;8332PZ-S-00009_REV_0.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;0;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;27/05/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1275/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e2.dwg
6;09035f518222dccf;09035f518222dc89;09035f518222dc89;1.1;24/07/2015 15:34:15;0;acad;0;8332PZ-S-00009_REV_1.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;1;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;29/07/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1553/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e4.dwg
7;09035f518222dcd1;09035f518222dccf;09035f518222dc89;1.2;24/07/2015 15:34:16;0;acad;0;8332PZ-S-00009_REV_2.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;2;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;04/09/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1777/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e5.dwg
8;09035f518222dcd3;09035f518222dcd1;09035f518222dc89;1.3;24/07/2015 15:34:17;0;acad;0;8332PZ-S-00009_REV_3.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;3;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;16/09/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1979/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e6.dwg
9;09035f518222dcd5;09035f518222dcd3;09035f518222dc89;1.4;24/07/2015 15:34:18;0;acad;0;8332PZ-S-00009_REV_4.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS - ELEVACOES +23970 E +26770 - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;4;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;07/11/2014 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-1633/14, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e7.dwg
10;09035f518222dcda;09035f518222dcd5;09035f518222dc89;1.5;24/07/2015 15:34:18;0;acad;0;8332PZ-S-00009_REV_5.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS - ELEVACOES +23970 E +26770 - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;5;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;10/12/2014 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-0024/15, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e8.dwg
